date,description,amount,type,category
2024-01-01,Salary Credit,50000,CREDIT,SALARY
2024-01-02,House Rent,-15000,DEBIT,RENT
2024-01-05,Electricity Bill,-2000,DEBIT,UTILITIES
2024-01-10,Grocery Store,-5000,DEBIT,GROCERIES
2024-01-15,EMI Payment,-3000,DEBIT,EMI
2024-01-20,Netflix Subscription,-500,DEBIT,ENTERTAINMENT
2024-02-01,Salary Credit,50000,CREDIT,SALARY
2024-02-02,House Rent,-15000,DEBIT,RENT
2024-02-05,Internet Bill,-1500,DEBIT,UTILITIES
2024-02-12,Grocery Store,-4500,DEBIT,GROCERIES
2024-02-15,EMI Payment,-3000,DEBIT,EMI
2024-03-01,Salary Credit,52000,CREDIT,SALARY
2024-03-02,House Rent,-15000,DEBIT,RENT
2024-03-08,Water Bill,-800,DEBIT,UTILITIES
2024-03-15,EMI Payment,-3000,DEBIT,EMI
2024-04-01,Salary Credit,52000,CREDIT,SALARY
2024-04-02,House Rent,-15000,DEBIT,RENT
2024-04-10,Grocery Store,-6000,DEBIT,GROCERIES
2024-04-15,EMI Payment,-3000,DEBIT,EMI
2024-05-01,Salary Credit,52000,CREDIT,SALARY
2024-05-02,House Rent,-15000,DEBIT,RENT
2024-05-05,Mobile Bill,-1200,DEBIT,UTILITIES
2024-05-15,EMI Payment,-3000,DEBIT,EMI
2024-06-01,Salary Credit,55000,CREDIT,SALARY
2024-06-02,House Rent,-15000,DEBIT,RENT
2024-06-15,EMI Payment,-3000,DEBIT,EMI
